,anno_riferimento,COD_RIP,COD_REG,DEN_REG
193,2024,4,14,Molise
194,2024,4,15,Campania
195,2024,4,16,Puglia
196,2024,4,17,Basilicata
197,2024,4,18,Calabria
198,2024,5,19,Sicilia
199,2024,5,20,Sardegna
200,2025,1,1,Piemonte
201,2025,1,2,Valle d'Aosta/Vallée d'Aoste
202,2025,1,3,Lombardia
203,2025,2,4,Trentino-Alto Adige/Südtirol
204,2025,2,5,Veneto
205,2025,2,6,Friuli-Venezia Giulia
206,2025,1,7,Liguria
207,2025,2,8,Emilia-Romagna
208,2025,3,9,Toscana
209,2025,3,10,Umbria
210,2025,3,11,Marche
211,2025,3,12,Lazio
212,2025,4,13,Abruzzo
213,2025,4,14,Molise
214,2025,4,15,Campania
215,2025,4,16,Puglia
216,2025,4,17,Basilicata
217,2025,4,18,Calabria
218,2025,5,19,Sicilia
219,2025,5,20,Sardegna
