,TIME_PERIOD,PRO_COM,POP_AL_KMQ,RESULT,OBS_VALUE,MORTI
127911,2027,1161,240.341377,F,0,0
127912,2027,1162,113.536409,F,0,0
127913,2027,1163,128.201177,F,0,0
127914,2027,1164,2222.362309,F,0,0
127915,2027,1165,1.268444,F,0,0
127916,2027,1166,584.338941,F,0,0
127917,2027,1167,88.150148,F,0,0
127918,2027,1169,18.140875,F,0,0
127919,2027,1170,226.558782,F,0,0
127920,2027,1171,1027.147752,F,0,0
127921,2027,1172,102.31895,F,0,0
127922,2027,1173,210.982764,F,0,0
127923,2027,1174,196.412576,F,0,0
127924,2027,1175,32.840311,F,0,0
127925,2027,1176,217.359133,F,0,0
127926,2027,1177,164.505402,F,0,0
127927,2027,1178,123.233785,F,0,0
127928,2027,1179,153.611545,F,0,0
127929,2027,1180,265.571091,F,0,0
127930,2027,1181,313.520914,F,0,0
127931,2027,1183,439.430708,F,0,0
127932,2027,1184,119.047163,F,0,0
127933,2027,1185,105.989805,F,0,0
127934,2027,1186,8.739039,F,0,0
127935,2027,1187,183.312105,F,0,0
127936,2027,1188,111.966802,F,0,0
127937,2027,1189,947.799361,F,0,0
127938,2027,1190,80.101387,F,0,0
127939,2027,1191,704.027812,F,0,0
127940,2027,1192,383.079765,F,0,0
127941,2027,1193,191.462074,F,0,0
127942,2027,1194,449.636077,F,0,0
127943,2027,1195,330.798825,F,0,0
127944,2027,1196,111.194686,F,0,0
127945,2027,1197,134.847062,F,0,0
127946,2027,1198,110.266204,F,0,0
127947,2027,1199,158.437866,F,0,0
127948,2027,1200,252.490051,F,0,0
127949,2027,1201,7.903428,F,0,0
127950,2027,1202,3.5257,F,0,0
127951,2027,1203,62.688467,F,0,0
127952,2027,1204,9.609182,F,0,0
127953,2027,1205,119.846551,F,0,0
127954,2027,1206,111.344302,F,0,0
127955,2027,1207,57.866552,F,0,0
127956,2027,1208,154.570882,F,0,0
127957,2027,1209,82.912032,F,0,0
127958,2027,1210,54.867217,F,0,0
127959,2027,1211,263.738242,F,0,0
127960,2027,1212,1.077979,F,0,0
127961,2027,1213,105.323401,F,0,0
127962,2027,1214,798.841785,F,0,0
127963,2027,1215,132.447744,F,0,0
127964,2027,1216,195.170019,F,0,0
127965,2027,1217,382.248961,F,0,0
127966,2027,1218,141.907241,F,0,0
127967,2027,1219,1578.305085,F,0,0
127968,2027,1220,358.737598,F,0,0
127969,2027,1221,120.992178,F,0,0
127970,2027,1222,203.42127,F,0,0
127971,2027,1223,241.02189,F,0,0
127972,2027,1224,3.978444,F,0,0
127973,2027,1225,179.737645,F,0,0
127974,2027,1226,17.811377,F,0,0
127975,2027,1227,12.665626,F,0,0
127976,2027,1228,562.609626,F,0,0
127977,2027,1229,93.402779,F,0,0
127978,2027,1230,52.184394,F,0,0
127979,2027,1231,372.576737,F,0,0
127980,2027,1232,16.362341,F,0,0
127981,2027,1233,219.644385,F,0,0
127982,2027,1234,3.891497,F,0,0
127983,2027,1235,624.357762,F,0,0
127984,2027,1236,273.440838,F,0,0
127985,2027,1237,193.047238,F,0,0
127986,2027,1238,105.892097,F,0,0
127987,2027,1239,150.437388,F,0,0
127988,2027,1240,320.971995,F,0,0
127989,2027,1241,552.682223,F,0,0
127990,2027,1242,107.742452,F,0,0
127991,2027,1243,367.290445,F,0,0
127992,2027,1244,122.763427,F,0,0
127993,2027,1245,48.539016,F,0,0
127994,2027,1246,340.164361,F,0,0
127995,2027,1247,83.934935,F,0,0
127996,2027,1248,592.413646,F,0,0
127997,2027,1249,1467.140546,F,0,0
127998,2027,1250,116.280004,F,0,0
127999,2027,1251,110.153933,F,0,0
128000,2027,1252,284.016327,F,0,0
128001,2027,1253,113.582213,F,0,0
128002,2027,1254,288.736876,F,0,0
128003,2027,1255,539.888151,F,0,0
128004,2027,1256,415.939232,F,0,0
128005,2027,1257,646.977479,F,0,0
128006,2027,1258,2.887172,F,0,0
128007,2027,1259,57.997135,F,0,0
128008,2027,1260,100.862461,F,0,0
128009,2027,1261,99.11716,F,0,0
128010,2027,1262,126.104071,F,0,0
128011,2027,1263,34.99782,F,0,0
128012,2027,1264,75.438683,F,0,0
128013,2027,1265,1452.236685,F,0,0
128014,2027,1266,65.387294,F,0,0
128015,2027,1267,30.560741,F,0,0
128016,2027,1268,108.401084,F,0,0
128017,2027,1269,269.442689,F,0,0
