,COD_RIP,COD_REG,COD_PROV_STORICO,COD_UTS,PRO_COM_T,PRO_COM,COMUNE,COMUNE_A,SIGLA_AUTOMOBILISTICA,POP_LEG,ANNO_CENSIMENTO,AREA_KMQ,ANNO_AREA,POP_RES,ANNO_POP_RES,anno_riferimento
0,1,01,001,201,001001,1001,Agliè,,TO,2644,2011,"13,1462",2016,2644,2015,2016
1,1,01,001,201,001002,1002,Airasca,,TO,3819,2011,"15,7393",2016,3761,2015,2016
2,1,01,001,201,001003,1003,Ala di Stura,,TO,462,2011,"46,3315",2016,464,2015,2016
3,1,01,001,201,001004,1004,Albiano d'Ivrea,,TO,1791,2011,"11,7314",2016,1728,2015,2016
4,1,01,001,201,001005,1005,Alice Superiore,,TO,701,2011,"7,3796",2016,707,2015,2016
5,1,01,001,201,001006,1006,Almese,,TO,6303,2011,"17,8756",2016,6387,2015,2016
6,1,01,001,201,001007,1007,Alpette,,TO,277,2011,"5,6261",2016,260,2015,2016
7,1,01,001,201,001008,1008,Alpignano,,TO,16893,2011,"11,9193",2016,17335,2015,2016
8,1,01,001,201,001009,1009,Andezeno,,TO,1966,2011,"7,486",2016,1991,2015,2016
9,1,01,001,201,001010,1010,Andrate,,TO,512,2011,"9,3085",2016,505,2015,2016
10,1,01,001,201,001011,1011,Angrogna,,TO,870,2011,"38,8782",2016,887,2015,2016
11,1,01,001,201,001012,1012,Arignano,,TO,1039,2011,"8,1668",2016,1090,2015,2016
12,1,01,001,201,001013,1013,Avigliana,,TO,12129,2011,"23,2172",2016,12459,2015,2016
13,1,01,001,201,001014,1014,Azeglio,,TO,1347,2011,"9,9605",2016,1307,2015,2016
14,1,01,001,201,001015,1015,Bairo,,TO,816,2011,"7,0859",2016,777,2015,2016
15,1,01,001,201,001016,1016,Balangero,,TO,3161,2011,"13,0063",2016,3165,2015,2016
16,1,01,001,201,001017,1017,Baldissero Canavese,,TO,534,2011,"4,5064",2016,555,2015,2016
17,1,01,001,201,001018,1018,Baldissero Torinese,,TO,3783,2011,"15,4054",2016,3701,2015,2016
18,1,01,001,201,001019,1019,Balme,,TO,95,2011,"62,7105",2016,119,2015,2016
19,1,01,001,201,001020,1020,Banchette,,TO,3280,2011,"2,0289",2016,3198,2015,2016
20,1,01,001,201,001021,1021,Barbania,,TO,1623,2011,"12,8027",2016,1585,2015,2016
21,1,01,001,201,001022,1022,Bardonecchia,,TO,3212,2011,"132,203",2016,3200,2015,2016
22,1,01,001,201,001023,1023,Barone Canavese,,TO,599,2011,"3,9864",2016,588,2015,2016
23,1,01,001,201,001024,1024,Beinasco,,TO,18104,2011,"6,7343",2016,18141,2015,2016
24,1,01,001,201,001025,1025,Bibiana,,TO,3376,2011,"18,5979",2016,3447,2015,2016
25,1,01,001,201,001026,1026,Bobbio Pellice,,TO,566,2011,"94,0819",2016,562,2015,2016
26,1,01,001,201,001027,1027,Bollengo,,TO,2112,2011,"14,2234",2016,2134,2015,2016
27,1,01,001,201,001028,1028,Borgaro Torinese,,TO,13620,2011,"14,3261",2016,13393,2015,2016
28,1,01,001,201,001029,1029,Borgiallo,,TO,550,2011,"6,9648",2016,559,2015,2016
29,1,01,001,201,001030,1030,Borgofranco d'Ivrea,,TO,3643,2011,"13,4189",2016,3682,2015,2016
30,1,01,001,201,001031,1031,Borgomasino,,TO,835,2011,"12,3712",2016,802,2015,2016
31,1,01,001,201,001032,1032,Borgone Susa,,TO,2320,2011,"4,9617",2016,2225,2015,2016
32,1,01,001,201,001033,1033,Bosconero,,TO,3056,2011,"10,919",2016,3151,2015,2016
