,COD_RIP,COD_REG,COD_PROV_STORICO,COD_UTS,PRO_COM_T,PRO_COM,COMUNE,COMUNE_A,SIGLA_AUTOMOBILISTICA,POP_LEG,ANNO_CENSIMENTO,AREA_KMQ,ANNO_AREA,POP_RES,ANNO_POP_RES,anno_riferimento
0,1,01,001,201,001001,1001,Agliè,,TO,2644,2011,"13,1462",2019,2634,2018,2019
1,1,01,001,201,001002,1002,Airasca,,TO,3819,2011,"15,7393",2019,3613,2018,2019
2,1,01,001,201,001003,1003,Ala di Stura,,TO,462,2011,"46,3315",2019,442,2018,2019
3,1,01,001,201,001004,1004,Albiano d'Ivrea,,TO,1791,2011,"11,7314",2019,1642,2018,2019
4,1,01,001,201,001006,1006,Almese,,TO,6303,2011,"17,8756",2019,6406,2018,2019
5,1,01,001,201,001007,1007,Alpette,,TO,277,2011,"5,6261",2019,246,2018,2019
6,1,01,001,201,001008,1008,Alpignano,,TO,16893,2011,"11,9193",2019,16991,2018,2019
7,1,01,001,201,001009,1009,Andezeno,,TO,1966,2011,"7,486",2019,2004,2018,2019
8,1,01,001,201,001010,1010,Andrate,,TO,512,2011,"9,3085",2019,497,2018,2019
9,1,01,001,201,001011,1011,Angrogna,,TO,870,2011,"38,8782",2019,862,2018,2019
10,1,01,001,201,001012,1012,Arignano,,TO,1039,2011,"8,1668",2019,1075,2018,2019
11,1,01,001,201,001013,1013,Avigliana,,TO,12129,2011,"23,2172",2019,12578,2018,2019
12,1,01,001,201,001014,1014,Azeglio,,TO,1347,2011,"9,9605",2019,1253,2018,2019
13,1,01,001,201,001015,1015,Bairo,,TO,816,2011,"7,0859",2019,790,2018,2019
14,1,01,001,201,001016,1016,Balangero,,TO,3161,2011,"13,0063",2019,3175,2018,2019
15,1,01,001,201,001017,1017,Baldissero Canavese,,TO,534,2011,"4,5064",2019,543,2018,2019
16,1,01,001,201,001018,1018,Baldissero Torinese,,TO,3783,2011,"15,4054",2019,3624,2018,2019
17,1,01,001,201,001019,1019,Balme,,TO,95,2011,"62,7105",2019,113,2018,2019
18,1,01,001,201,001020,1020,Banchette,,TO,3280,2011,"2,0289",2019,3205,2018,2019
19,1,01,001,201,001021,1021,Barbania,,TO,1623,2011,"12,8027",2019,1566,2018,2019
20,1,01,001,201,001022,1022,Bardonecchia,,TO,3212,2011,"132,203",2019,3140,2018,2019
21,1,01,001,201,001023,1023,Barone Canavese,,TO,599,2011,"3,9864",2019,588,2018,2019
22,1,01,001,201,001024,1024,Beinasco,,TO,18104,2011,"6,7343",2019,17915,2018,2019
23,1,01,001,201,001025,1025,Bibiana,,TO,3376,2011,"18,5979",2019,3455,2018,2019
24,1,01,001,201,001026,1026,Bobbio Pellice,,TO,566,2011,"94,0819",2019,542,2018,2019
25,1,01,001,201,001027,1027,Bollengo,,TO,2112,2011,"14,2234",2019,2163,2018,2019
26,1,01,001,201,001028,1028,Borgaro Torinese,,TO,11723,2011,"11,1039",2019,11937,2018,2019
27,1,01,001,201,001029,1029,Borgiallo,,TO,550,2011,"6,9648",2019,583,2018,2019
28,1,01,001,201,001030,1030,Borgofranco d'Ivrea,,TO,3643,2011,"13,4189",2019,3631,2018,2019
29,1,01,001,201,001031,1031,Borgomasino,,TO,835,2011,"12,3712",2019,782,2018,2019
30,1,01,001,201,001032,1032,Borgone Susa,,TO,2320,2011,"4,9617",2019,2197,2018,2019
31,1,01,001,201,001033,1033,Bosconero,,TO,3056,2011,"10,919",2019,3106,2018,2019
32,1,01,001,201,001034,1034,Brandizzo,,TO,8402,2011,"6,2914",2019,8581,2018,2019
33,1,01,001,201,001035,1035,Bricherasio,,TO,4517,2011,"22,7585",2019,4629,2018,2019
34,1,01,001,201,001036,1036,Brosso,,TO,460,2011,"11,135",2019,393,2018,2019
35,1,01,001,201,001037,1037,Brozolo,,TO,471,2011,"8,9504",2019,433,2018,2019
36,1,01,001,201,001038,1038,Bruino,,TO,8479,2011,"5,5701",2019,8648,2018,2019
37,1,01,001,201,001039,1039,Brusasco,,TO,1726,2011,"14,3592",2019,1503,2018,2019
38,1,01,001,201,001040,1040,Bruzolo,,TO,1545,2011,"12,5598",2019,1526,2018,2019
39,1,01,001,201,001041,1041,Buriasco,,TO,1405,2011,"14,6868",2019,1345,2018,2019
40,1,01,001,201,001042,1042,Burolo,,TO,1228,2011,"5,476",2019,1139,2018,2019
41,1,01,001,201,001043,1043,Busano,,TO,1588,2011,"5,0591",2019,1621,2018,2019
42,1,01,001,201,001044,1044,Bussoleno,,TO,6363,2011,"37,0661",2019,5922,2018,2019
43,1,01,001,201,001045,1045,Buttigliera Alta,,TO,6386,2011,"8,0973",2019,6417,2018,2019
44,1,01,001,201,001046,1046,Cafasse,,TO,3511,2011,"10,2312",2019,3391,2018,2019
45,1,01,001,201,001047,1047,Caluso,,TO,7483,2011,"39,4925",2019,7473,2018,2019
46,1,01,001,201,001048,1048,Cambiano,,TO,6215,2011,"14,1314",2019,5992,2018,2019
47,1,01,001,201,001049,1049,Campiglione Fenile,,TO,1382,2011,"11,0863",2019,1334,2018,2019
48,1,01,001,201,001050,1050,Candia Canavese,,TO,1286,2011,"9,1318",2019,1196,2018,2019
49,1,01,001,201,001051,1051,Candiolo,,TO,5566,2011,"11,8499",2019,5635,2018,2019
50,1,01,001,201,001052,1052,Canischio,,TO,294,2011,"11,9505",2019,279,2018,2019
51,1,01,001,201,001053,1053,Cantalupa,,TO,2527,2011,"11,1953",2019,2628,2018,2019
52,1,01,001,201,001054,1054,Cantoira,,TO,554,2011,"23,0319",2019,586,2018,2019
53,1,01,001,201,001055,1055,Caprie,,TO,2116,2011,"16,4078",2019,2079,2018,2019
54,1,01,001,201,001056,1056,Caravino,,TO,995,2011,"11,5371",2019,904,2018,2019
55,1,01,001,201,001057,1057,Carema,,TO,772,2011,"10,2579",2019,766,2018,2019
56,1,01,001,201,001058,1058,Carignano,,TO,9156,2011,"50,679",2019,9255,2018,2019
57,1,01,001,201,001059,1059,Carmagnola,,TO,28563,2011,"95,7148",2019,28575,2018,2019
58,1,01,001,201,001060,1060,Casalborgone,,TO,1820,2011,"20,125",2019,1877,2018,2019
59,1,01,001,201,001061,1061,Cascinette d'Ivrea,,TO,1491,2011,"2,1726",2019,1506,2018,2019
60,1,01,001,201,001062,1062,Caselette,,TO,2931,2011,"14,3136",2019,3026,2018,2019
61,1,01,001,201,001063,1063,Caselle Torinese,,TO,13389,2011,"23,5513",2019,13883,2018,2019
62,1,01,001,201,001064,1064,Castagneto Po,,TO,1791,2011,"11,4732",2019,1774,2018,2019
63,1,01,001,201,001065,1065,Castagnole Piemonte,,TO,2193,2011,"17,2796",2019,2233,2018,2019
64,1,01,001,201,001066,1066,Castellamonte,,TO,9917,2011,"38,7063",2019,9951,2018,2019
65,1,01,001,201,001067,1067,Castelnuovo Nigra,,TO,417,2011,"28,3756",2019,432,2018,2019
66,1,01,001,201,001068,1068,Castiglione Torinese,,TO,6363,2011,"14,1345",2019,6550,2018,2019
67,1,01,001,201,001069,1069,Cavagnolo,,TO,2309,2011,"12,3285",2019,2309,2018,2019
68,1,01,001,201,001070,1070,Cavour,,TO,5568,2011,"48,9591",2019,5483,2018,2019
69,1,01,001,201,001071,1071,Cercenasco,,TO,1857,2011,"13,1595",2019,1813,2018,2019
70,1,01,001,201,001072,1072,Ceres,,TO,1056,2011,"28,0516",2019,1049,2018,2019
71,1,01,001,201,001073,1073,Ceresole Reale,,TO,159,2011,"99,8147",2019,165,2018,2019
72,1,01,001,201,001074,1074,Cesana Torinese,,TO,1007,2011,"121,7001",2019,965,2018,2019
73,1,01,001,201,001075,1075,Chialamberto,,TO,364,2011,"35,4478",2019,371,2018,2019
74,1,01,001,201,001076,1076,Chianocco,,TO,1700,2011,"18,6134",2019,1603,2018,2019
75,1,01,001,201,001077,1077,Chiaverano,,TO,2106,2011,"12,0221",2019,2067,2018,2019
76,1,01,001,201,001078,1078,Chieri,,TO,35962,2011,"54,1975",2019,36487,2018,2019
77,1,01,001,201,001079,1079,Chiesanuova,,TO,203,2011,"4,1189",2019,223,2018,2019
78,1,01,001,201,001080,1080,Chiomonte,,TO,932,2011,"26,7549",2019,894,2018,2019
79,1,01,001,201,001081,1081,Chiusa di San Michele,,TO,1691,2011,"5,9165",2019,1624,2018,2019
80,1,01,001,201,001082,1082,Chivasso,,TO,25914,2011,"51,2378",2019,26801,2018,2019
81,1,01,001,201,001083,1083,Ciconio,,TO,371,2011,"3,1638",2019,386,2018,2019
82,1,01,001,201,001084,1084,Cintano,,TO,261,2011,"4,9345",2019,247,2018,2019
83,1,01,001,201,001085,1085,Cinzano,,TO,375,2011,"6,1962",2019,333,2018,2019
84,1,01,001,201,001086,1086,Ciriè,,TO,18415,2011,"17,7329",2019,18366,2018,2019
85,1,01,001,201,001087,1087,Claviere,,TO,192,2011,"2,6872",2019,207,2018,2019
86,1,01,001,201,001088,1088,Coassolo Torinese,,TO,1550,2011,"27,8788",2019,1500,2018,2019
87,1,01,001,201,001089,1089,Coazze,,TO,3084,2011,"56,5727",2019,3184,2018,2019
88,1,01,001,201,001090,1090,Collegno,,TO,49083,2011,"18,0993",2019,49752,2018,2019
89,1,01,001,201,001091,1091,Colleretto Castelnuovo,,TO,347,2011,"6,3321",2019,313,2018,2019
90,1,01,001,201,001092,1092,Colleretto Giacosa,,TO,603,2011,"4,5894",2019,577,2018,2019
91,1,01,001,201,001093,1093,Condove,,TO,4670,2011,"71,1131",2019,4577,2018,2019
92,1,01,001,201,001094,1094,Corio,,TO,3330,2011,"41,4914",2019,3193,2018,2019
93,1,01,001,201,001095,1095,Cossano Canavese,,TO,522,2011,"3,2384",2019,491,2018,2019
94,1,01,001,201,001096,1096,Cuceglio,,TO,997,2011,"6,8709",2019,983,2018,2019
95,1,01,001,201,001097,1097,Cumiana,,TO,7825,2011,"60,7335",2019,7922,2018,2019
96,1,01,001,201,001098,1098,Cuorgnè,,TO,10084,2011,"19,3134",2019,9665,2018,2019
97,1,01,001,201,001099,1099,Druento,,TO,8436,2011,"27,5395",2019,8881,2018,2019
98,1,01,001,201,001100,1100,Exilles,,TO,266,2011,"46,5474",2019,250,2018,2019
99,1,01,001,201,001101,1101,Favria,,TO,5230,2011,"14,8499",2019,5212,2018,2019
