,COD_RIP,COD_REG,COD_PROV_STORICO,COD_UTS,PRO_COM_T,PRO_COM,COMUNE,COMUNE_A,SIGLA_AUTOMOBILISTICA,POP_LEG,ANNO_CENSIMENTO,AREA_KMQ,ANNO_AREA,POP_RES,ANNO_POP_RES,anno_riferimento
61,1,01,001,201,001063,1063,Caselle Torinese,,TO,13834,2021,"23,5512",2023,13868,2022,2023
62,1,01,001,201,001064,1064,Castagneto Po,,TO,1763,2021,"11,5245",2023,1770,2022,2023
63,1,01,001,201,001065,1065,Castagnole Piemonte,,TO,2179,2021,"17,2795",2023,2194,2022,2023
64,1,01,001,201,001066,1066,Castellamonte,,TO,9695,2021,"38,7063",2023,9686,2022,2023
65,1,01,001,201,001067,1067,Castelnuovo Nigra,,TO,401,2021,"28,3756",2023,407,2022,2023
66,1,01,001,201,001068,1068,Castiglione Torinese,,TO,6469,2021,"14,1346",2023,6509,2022,2023
67,1,01,001,201,001069,1069,Cavagnolo,,TO,2226,2021,"12,3286",2023,2267,2022,2023
68,1,01,001,201,001070,1070,Cavour,,TO,5374,2021,"48,9599",2023,5421,2022,2023
69,1,01,001,201,001071,1071,Cercenasco,,TO,1782,2021,"13,1596",2023,1760,2022,2023
70,1,01,001,201,001072,1072,Ceres,,TO,1017,2021,"28,0516",2023,1027,2022,2023
71,1,01,001,201,001073,1073,Ceresole Reale,,TO,159,2021,"99,8164",2023,157,2022,2023
72,1,01,001,201,001074,1074,Cesana Torinese,,TO,913,2021,"121,7006",2023,897,2022,2023
73,1,01,001,201,001075,1075,Chialamberto,,TO,344,2021,"35,4479",2023,337,2022,2023
74,1,01,001,201,001076,1076,Chianocco,,TO,1552,2021,"18,6132",2023,1527,2022,2023
75,1,01,001,201,001077,1077,Chiaverano,,TO,1985,2021,"12,0224",2023,1965,2022,2023
76,1,01,001,201,001078,1078,Chieri,,TO,35916,2021,"54,1967",2023,35908,2022,2023
77,1,01,001,201,001079,1079,Chiesanuova,,TO,231,2021,"4,1187",2023,210,2022,2023
78,1,01,001,201,001080,1080,Chiomonte,,TO,870,2021,"26,755",2023,856,2022,2023
79,1,01,001,201,001081,1081,Chiusa di San Michele,,TO,1556,2021,"5,9167",2023,1526,2022,2023
80,1,01,001,201,001082,1082,Chivasso,,TO,26275,2021,"51,2027",2023,26244,2022,2023
81,1,01,001,201,001083,1083,Ciconio,,TO,364,2021,"3,1638",2023,355,2022,2023
82,1,01,001,201,001084,1084,Cintano,,TO,240,2021,"4,9344",2023,239,2022,2023
83,1,01,001,201,001085,1085,Cinzano,,TO,323,2021,"6,1965",2023,334,2022,2023
84,1,01,001,201,001086,1086,Ciriè,,TO,18212,2021,"17,7329",2023,18146,2022,2023
85,1,01,001,201,001087,1087,Claviere,,TO,204,2021,"2,6871",2023,208,2022,2023
86,1,01,001,201,001088,1088,Coassolo Torinese,,TO,1444,2021,"27,8788",2023,1445,2022,2023
87,1,01,001,201,001089,1089,Coazze,,TO,3218,2021,"56,5724",2023,3257,2022,2023
88,1,01,001,201,001090,1090,Collegno,,TO,48574,2021,"18,1075",2023,48359,2022,2023
89,1,01,001,201,001091,1091,Colleretto Castelnuovo,,TO,312,2021,"6,3321",2023,326,2022,2023
90,1,01,001,201,001092,1092,Colleretto Giacosa,,TO,596,2021,"4,5895",2023,593,2022,2023
91,1,01,001,201,001093,1093,Condove,,TO,4437,2021,"71,1129",2023,4454,2022,2023
92,1,01,001,201,001094,1094,Corio,,TO,3048,2021,"41,4917",2023,3027,2022,2023
93,1,01,001,201,001095,1095,Cossano Canavese,,TO,440,2021,"3,2387",2023,435,2022,2023
94,1,01,001,201,001096,1096,Cuceglio,,TO,930,2021,"6,8709",2023,919,2022,2023
95,1,01,001,201,001097,1097,Cumiana,,TO,7821,2021,"60,7335",2023,7840,2022,2023
96,1,01,001,201,001098,1098,Cuorgnè,,TO,9411,2021,"19,3083",2023,9531,2022,2023
97,1,01,001,201,001099,1099,Druento,,TO,8973,2021,"27,5394",2023,8988,2022,2023
98,1,01,001,201,001100,1100,Exilles,,TO,241,2021,"46,5473",2023,240,2022,2023
99,1,01,001,201,001101,1101,Favria,,TO,5115,2021,"14,8499",2023,5026,2022,2023
100,1,01,001,201,001102,1102,Feletto,,TO,2190,2021,"7,8931",2023,2215,2022,2023
101,1,01,001,201,001103,1103,Fenestrelle,,TO,481,2021,"49,4091",2023,477,2022,2023
102,1,01,001,201,001104,1104,Fiano,,TO,2679,2021,"12,0396",2023,2647,2022,2023
103,1,01,001,201,001105,1105,Fiorano Canavese,,TO,735,2021,"4,3457",2023,744,2022,2023
104,1,01,001,201,001106,1106,Foglizzo,,TO,2265,2021,"15,6429",2023,2261,2022,2023
105,1,01,001,201,001107,1107,Forno Canavese,,TO,3230,2021,"16,5002",2023,3212,2022,2023
106,1,01,001,201,001108,1108,Frassinetto,,TO,279,2021,"24,8186",2023,274,2022,2023
107,1,01,001,201,001109,1109,Front,,TO,1613,2021,"10,9482",2023,1586,2022,2023
108,1,01,001,201,001110,1110,Frossasco,,TO,2799,2021,"20,1488",2023,2814,2022,2023
109,1,01,001,201,001111,1111,Garzigliana,,TO,530,2021,"7,4018",2023,546,2022,2023
110,1,01,001,201,001112,1112,Gassino Torinese,,TO,9361,2021,"20,5108",2023,9288,2022,2023
