,COD_RIP,COD_REG,COD_PROV_STORICO,COD_UTS,PRO_COM_T,PRO_COM,COMUNE,COMUNE_A,SIGLA_AUTOMOBILISTICA,POP_LEG,ANNO_CENSIMENTO,AREA_KMQ,ANNO_AREA,POP_RES,ANNO_POP_RES,anno_riferimento
0,1,01,001,201,001001,1001,Agliè,,TO,2562,2021,"13,1463",2022,2562,2021,2022
1,1,01,001,201,001002,1002,Airasca,,TO,3660,2021,"15,7393",2022,3660,2021,2022
2,1,01,001,201,001003,1003,Ala di Stura,,TO,467,2021,"46,3316",2022,467,2021,2022
3,1,01,001,201,001004,1004,Albiano d'Ivrea,,TO,1637,2021,"11,7397",2022,1637,2021,2022
4,1,01,001,201,001006,1006,Almese,,TO,6331,2021,"17,8741",2022,6331,2021,2022
5,1,01,001,201,001007,1007,Alpette,,TO,240,2021,"5,6311",2022,240,2021,2022
6,1,01,001,201,001008,1008,Alpignano,,TO,16501,2021,"11,9193",2022,16501,2021,2022
7,1,01,001,201,001009,1009,Andezeno,,TO,2036,2021,"7,4859",2022,2036,2021,2022
8,1,01,001,201,001010,1010,Andrate,,TO,474,2021,"9,309",2022,474,2021,2022
9,1,01,001,201,001011,1011,Angrogna,,TO,827,2021,"38,8781",2022,827,2021,2022
10,1,01,001,201,001012,1012,Arignano,,TO,1072,2021,"8,1666",2022,1072,2021,2022
11,1,01,001,201,001013,1013,Avigliana,,TO,12350,2021,"23,2173",2022,12350,2021,2022
12,1,01,001,201,001014,1014,Azeglio,,TO,1240,2021,"9,9528",2022,1240,2021,2022
13,1,01,001,201,001015,1015,Bairo,,TO,790,2021,"7,0859",2022,790,2021,2022
14,1,01,001,201,001016,1016,Balangero,,TO,3064,2021,"13,0065",2022,3064,2021,2022
15,1,01,001,201,001017,1017,Baldissero Canavese,,TO,530,2021,"4,5064",2022,530,2021,2022
16,1,01,001,201,001018,1018,Baldissero Torinese,,TO,3755,2021,"15,4046",2022,3755,2021,2022
17,1,01,001,201,001019,1019,Balme,,TO,105,2021,"62,7105",2022,105,2021,2022
18,1,01,001,201,001020,1020,Banchette,,TO,3085,2021,"2,0289",2022,3085,2021,2022
19,1,01,001,201,001021,1021,Barbania,,TO,1570,2021,"12,8027",2022,1570,2021,2022
20,1,01,001,201,001022,1022,Bardonecchia,,TO,3044,2021,"132,203",2022,3044,2021,2022
21,1,01,001,201,001023,1023,Barone Canavese,,TO,556,2021,"3,9864",2022,556,2021,2022
22,1,01,001,201,001024,1024,Beinasco,,TO,17464,2021,"6,7366",2022,17464,2021,2022
23,1,01,001,201,001025,1025,Bibiana,,TO,3378,2021,"18,5987",2022,3378,2021,2022
24,1,01,001,201,001026,1026,Bobbio Pellice,,TO,539,2021,"94,082",2022,539,2021,2022
25,1,01,001,201,001027,1027,Bollengo,,TO,2098,2021,"14,2237",2022,2098,2021,2022
26,1,01,001,201,001028,1028,Borgaro Torinese,,TO,11827,2021,"11,1093",2022,11827,2021,2022
27,1,01,001,201,001029,1029,Borgiallo,,TO,582,2021,"6,9647",2022,582,2021,2022
28,1,01,001,201,001030,1030,Borgofranco d'Ivrea,,TO,3555,2021,"13,419",2022,3555,2021,2022
29,1,01,001,201,001031,1031,Borgomasino,,TO,773,2021,"12,3713",2022,773,2021,2022
30,1,01,001,201,001032,1032,Borgone Susa,,TO,2151,2021,"4,9616",2022,2151,2021,2022
31,1,01,001,201,001033,1033,Bosconero,,TO,3066,2021,"10,9191",2022,3066,2021,2022
32,1,01,001,201,001034,1034,Brandizzo,,TO,8701,2021,"6,39",2022,8701,2021,2022
33,1,01,001,201,001035,1035,Bricherasio,,TO,4616,2021,"22,7583",2022,4616,2021,2022
34,1,01,001,201,001036,1036,Brosso,,TO,394,2021,"11,135",2022,394,2021,2022
35,1,01,001,201,001037,1037,Brozolo,,TO,454,2021,"8,9471",2022,454,2021,2022
36,1,01,001,201,001038,1038,Bruino,,TO,8489,2021,"5,5702",2022,8489,2021,2022
37,1,01,001,201,001039,1039,Brusasco,,TO,1490,2021,"14,3591",2022,1490,2021,2022
