,COD_RIP,COD_REG,COD_UTS,PRO_COM_T,PRO_COM,COMUNE,COMUNE_A,SIGLA_AUTOMOBILISTICA,POP_LEG,ANNO_CENSIMENTO,AREA_KMQ,ANNO_AREA,POP_RES,ANNO_POP_RES,anno_riferimento
61,1,01,001,001062,1062,Caselette,,TO,2643.0,2001,"14,3137",2010,2850,2009,2010
62,1,01,001,001063,1063,Caselle Torinese,,TO,15857.0,2001,"28,7115",2010,17865,2009,2010
63,1,01,001,001064,1064,Castagneto Po,,TO,1425.0,2001,"11,4732",2010,1760,2009,2010
64,1,01,001,001065,1065,Castagnole Piemonte,,TO,1875.0,2001,"17,2796",2010,2177,2009,2010
65,1,01,001,001066,1066,Castellamonte,,TO,8979.0,2001,"38,7063",2010,9972,2009,2010
66,1,01,001,001067,1067,Castelnuovo Nigra,,TO,440.0,2001,"28,3756",2010,432,2009,2010
67,1,01,001,001068,1068,Castiglione Torinese,,TO,5480.0,2001,"14,1346",2010,6295,2009,2010
68,1,01,001,001069,1069,Cavagnolo,,TO,2281.0,2001,"12,3285",2010,2382,2009,2010
69,1,01,001,001070,1070,Cavour,,TO,5283.0,2001,"48,9591",2010,5567,2009,2010
70,1,01,001,001071,1071,Cercenasco,,TO,1774.0,2001,"13,1595",2010,1848,2009,2010
71,1,01,001,001072,1072,Ceres,,TO,1030.0,2001,"28,0516",2010,1085,2009,2010
72,1,01,001,001073,1073,Ceresole Reale,,TO,160.0,2001,"99,8139",2010,172,2009,2010
73,1,01,001,001074,1074,Cesana Torinese,,TO,956.0,2001,"121,7001",2010,950,2009,2010
74,1,01,001,001075,1075,Chialamberto,,TO,362.0,2001,"35,4478",2010,347,2009,2010
75,1,01,001,001076,1076,Chianocco,,TO,1690.0,2001,"18,5698",2010,1670,2009,2010
76,1,01,001,001077,1077,Chiaverano,,TO,2198.0,2001,"12,0221",2010,2175,2009,2010
77,1,01,001,001078,1078,Chieri,,TO,32868.0,2001,"54,1975",2010,35791,2009,2010
78,1,01,001,001079,1079,Chiesanuova,,TO,199.0,2001,"4,1189",2010,226,2009,2010
79,1,01,001,001080,1080,Chiomonte,,TO,1011.0,2001,"26,7549",2010,972,2009,2010
80,1,01,001,001081,1081,Chiusa di San Michele,,TO,1602.0,2001,"5,9165",2010,1689,2009,2010
81,1,01,001,001082,1082,Chivasso,,TO,23648.0,2001,"51,2378",2010,25697,2009,2010
82,1,01,001,001083,1083,Ciconio,,TO,345.0,2001,"3,1638",2010,365,2009,2010
83,1,01,001,001084,1084,Cintano,,TO,244.0,2001,"4,9345",2010,191,2009,2010
84,1,01,001,001085,1085,Cinzano,,TO,331.0,2001,"6,1962",2010,385,2009,2010
85,1,01,001,001086,1086,Ciriè,,TO,18188.0,2001,"17,7329",2010,18691,2009,2010
86,1,01,001,001087,1087,Claviere,,TO,163.0,2001,"2,6872",2010,197,2009,2010
87,1,01,001,001088,1088,Coassolo Torinese,,TO,1470.0,2001,"27,8788",2010,1563,2009,2010
88,1,01,001,001089,1089,Coazze,,TO,2889.0,2001,"56,5727",2010,3255,2009,2010
89,1,01,001,001090,1090,Collegno,,TO,46641.0,2001,"18,0993",2010,49734,2009,2010
90,1,01,001,001091,1091,Colleretto Castelnuovo,,TO,316.0,2001,"6,3321",2010,348,2009,2010
91,1,01,001,001092,1092,Colleretto Giacosa,,TO,627.0,2001,"4,5894",2010,618,2009,2010
92,1,01,001,001093,1093,Condove,,TO,4380.0,2001,"71,1131",2010,4673,2009,2010
93,1,01,001,001094,1094,Corio,,TO,3163.0,2001,"41,4914",2010,3354,2009,2010
94,1,01,001,001095,1095,Cossano Canavese,,TO,550.0,2001,"3,2384",2010,547,2009,2010
95,1,01,001,001096,1096,Cuceglio,,TO,925.0,2001,"6,8709",2010,988,2009,2010
96,1,01,001,001097,1097,Cumiana,,TO,6846.0,2001,"60,7335",2010,7837,2009,2010
97,1,01,001,001098,1098,Cuorgnè,,TO,10032.0,2001,"19,3133",2010,10121,2009,2010
98,1,01,001,001099,1099,Druento,,TO,8235.0,2001,"27,5395",2010,8435,2009,2010
99,1,01,001,001100,1100,Exilles,,TO,284.0,2001,"46,5474",2010,260,2009,2010
100,1,01,001,001101,1101,Favria,,TO,4324.0,2001,"14,8499",2010,5221,2009,2010
101,1,01,001,001102,1102,Feletto,,TO,2344.0,2001,"7,8929",2010,2348,2009,2010
102,1,01,001,001103,1103,Fenestrelle,,TO,615.0,2001,"49,4091",2010,568,2009,2010
103,1,01,001,001104,1104,Fiano,,TO,2558.0,2001,"12,0415",2010,2760,2009,2010
104,1,01,001,001105,1105,Fiorano Canavese,,TO,868.0,2001,"4,3457",2010,892,2009,2010
105,1,01,001,001106,1106,Foglizzo,,TO,2183.0,2001,"15,6427",2010,2319,2009,2010
106,1,01,001,001107,1107,Forno Canavese,,TO,3716.0,2001,"16,5075",2010,3669,2009,2010
107,1,01,001,001108,1108,Frassinetto,,TO,287.0,2001,"24,8185",2010,281,2009,2010
108,1,01,001,001109,1109,Front,,TO,1628.0,2001,"10,9482",2010,1740,2009,2010
109,1,01,001,001110,1110,Frossasco,,TO,2707.0,2001,"20,1488",2010,2867,2009,2010
110,1,01,001,001111,1111,Garzigliana,,TO,544.0,2001,"7,4018",2010,563,2009,2010
111,1,01,001,001112,1112,Gassino Torinese,,TO,9015.0,2001,"20,5108",2010,9461,2009,2010
112,1,01,001,001113,1113,Germagnano,,TO,1294.0,2001,"14,4442",2010,1299,2009,2010
113,1,01,001,001114,1114,Giaglione,,TO,692.0,2001,"33,3833",2010,657,2009,2010
114,1,01,001,001115,1115,Giaveno,,TO,14554.0,2001,"71,7376",2010,16438,2009,2010
115,1,01,001,001116,1116,Givoletto,,TO,2188.0,2001,"12,82",2010,3306,2009,2010
116,1,01,001,001117,1117,Gravere,,TO,682.0,2001,"18,987",2010,746,2009,2010
117,1,01,001,001118,1118,Groscavallo,,TO,214.0,2001,"92,0935",2010,191,2009,2010
118,1,01,001,001119,1119,Grosso,,TO,988.0,2001,"4,3296",2010,1048,2009,2010
119,1,01,001,001120,1120,Grugliasco,,TO,38725.0,2001,"13,1321",2010,37294,2009,2010
120,1,01,001,001121,1121,Ingria,,TO,61.0,2001,"14,7506",2010,51,2009,2010
121,1,01,001,001122,1122,Inverso Pinasca,,TO,659.0,2001,"8,0292",2010,738,2009,2010
122,1,01,001,001123,1123,Isolabella,,TO,398.0,2001,"4,7716",2010,399,2009,2010
123,1,01,001,001124,1124,Issiglio,,TO,402.0,2001,"5,5042",2010,422,2009,2010
124,1,01,001,001125,1125,Ivrea,,TO,23536.0,2001,"30,1075",2010,24042,2009,2010
125,1,01,001,001126,1126,La Cassa,,TO,1326.0,2001,"12,0353",2010,1788,2009,2010
126,1,01,001,001127,1127,La Loggia,,TO,6485.0,2001,"12,7825",2010,8125,2009,2010
127,1,01,001,001128,1128,Lanzo Torinese,,TO,5141.0,2001,"10,2876",2010,5271,2009,2010
128,1,01,001,001129,1129,Lauriano,,TO,1398.0,2001,"14,29",2010,1553,2009,2010
129,1,01,001,001130,1130,Leini,,TO,11946.0,2001,"32,4355",2010,14958,2009,2010
130,1,01,001,001131,1131,Lemie,,TO,218.0,2001,"45,6753",2010,187,2009,2010
131,1,01,001,001132,1132,Lessolo,,TO,1956.0,2001,"7,9366",2010,2026,2009,2010
132,1,01,001,001133,1133,Levone,,TO,491.0,2001,"5,3912",2010,467,2009,2010
133,1,01,001,001134,1134,Locana,,TO,1806.0,2001,"132,5162",2010,1665,2009,2010
134,1,01,001,001135,1135,Lombardore,,TO,1511.0,2001,"12,7158",2010,1651,2009,2010
135,1,01,001,001136,1136,Lombriasco,,TO,1004.0,2001,"7,2096",2010,1072,2009,2010
136,1,01,001,001137,1137,Loranzè,,TO,1003.0,2001,"4,1914",2010,1098,2009,2010
137,1,01,001,001138,1138,Lugnacco,,TO,338.0,2001,"4,8835",2010,391,2009,2010
138,1,01,001,001139,1139,Luserna San Giovanni,,TO,7866.0,2001,"17,7414",2010,7746,2009,2010
139,1,01,001,001140,1140,Lusernetta,,TO,496.0,2001,"7,0398",2010,523,2009,2010
140,1,01,001,001141,1141,Lusigliè,,TO,536.0,2001,"5,2585",2010,561,2009,2010
141,1,01,001,001142,1142,Macello,,TO,1153.0,2001,"14,1404",2010,1254,2009,2010
142,1,01,001,001143,1143,Maglione,,TO,488.0,2001,"6,3129",2010,494,2009,2010
143,1,01,001,001144,1144,Marentino,,TO,1190.0,2001,"11,2593",2010,1450,2009,2010
144,1,01,001,001145,1145,Massello,,TO,74.0,2001,"38,2587",2010,59,2009,2010
145,1,01,001,001146,1146,Mathi,,TO,3970.0,2001,"7,0706",2010,3983,2009,2010
146,1,01,001,001147,1147,Mattie,,TO,702.0,2001,"28,6942",2010,741,2009,2010
147,1,01,001,001148,1148,Mazzè,,TO,3973.0,2001,"27,3424",2010,4195,2009,2010
148,1,01,001,001149,1149,Meana di Susa,,TO,921.0,2001,"16,5439",2010,913,2009,2010
149,1,01,001,001150,1150,Mercenasco,,TO,1186.0,2001,"12,6383",2010,1223,2009,2010
150,1,01,001,001151,1151,Meugliano,,TO,109.0,2001,"4,442",2010,107,2009,2010
151,1,01,001,001152,1152,Mezzenile,,TO,900.0,2001,"29,0871",2010,854,2009,2010
